タイトル,bookliststory
咲－Saki－,美少女たちの超絶麻雀バトル！華麗に乱れ舞う136牌！卓上に咲き誇る美しき花！ネット麻雀人口を確実に増加させた（？）、萌え度アップ、百合度アップ（？）でお送りする、タコスで池田ァーッな『咲-saki-』フィルムコミッ…
馬ぐそ伝,馬草馬之介は予備校に通うために岩手から東京に出てきた。そして東京に出てきた運だめしに宝くじを1枚購入し…下宿先の曲垣宅に向かう途中腹が痛くなりトイレに駆け込んだが紙が無い事に気づき持っている紙は「お札」「宝くじ」「…
片山まさゆきの麻雀教室,これから麻雀を始めようと思ってる人にオススメ！強くなりたい中級者にもオススメ。麻雀漫画の第一人者・片山まさゆきによる、片山キャラ総登場によるオモシロ麻雀漫画マニュアル！「初級講座」では牌の読み方から上がり方、マナー…
桜井章一伝 ショーイチ,『真説桜井章一』、『伝説の雀鬼』へと続く「ショーイチ」3部作のファーストシリーズ、ついに配信。刃物を突きつけられ、親指を折られ、死を覚悟して打った一局。銀座の夜の帝王との死闘。トップクラスの麻雀打ち4人による、イカ…
東大を出たけれど 麻雀に憑かれた男,原作者＝主人公…つまり、実在の人物。東大を出たのにまともな職にも就かず、麻雀打ちをやっている男の、雀荘を舞台とした哀愁の人間模様。根っからの麻雀好きは勿論、安定した道を取らずに夢に走っちゃった人や、目的も目標も見つ…
フリー雀荘最強伝説萬ONE,麻雀をギャンブルとしてではなく、スポーツのノリでやったら多分こんな感じ。そこには「金の取り合い」的な後ろ暗いモノは無く、若者たちの爽やかな対決の世界が出来上がる。若き雀士たちが互いのプライドを賭けて実力を競い合う、…
新フリー雀荘最強伝説ワン,麻雀無敵男「ケン師匠」の師事の元、麻雀の腕だけはそこそこモノになって来たダメ大学生の萬（よろず）。そんな彼の日常に、隣の部屋のベランダから下着姿の女の子が転がり込んできて、萬のストーリーは再び動き出す。彼女は隣の部…
黒の男,組長に絶対的な忠義をつくし、組長の為ならどこまでも冷酷に、咥えタバコで対局者の命を刈る凄腕のヤクザの代打ち・十字猛夫。10年の刑期を終えて娑婆に戻り、大鷲組の代打ちとなった十字は、ヤクザ同士の利権を賭けた対局の場に…
殺し屋ネコ,狙った獲物は必ず「殺す」。狙った獲物からしか和了らない少女雀士、通称「殺し屋ネコ」。かつて地下麻雀のプリンス「遊冶郎（ゆうやろう）」との無謀な賭け麻雀で、友人の片腕を飛ばしてしまい、ネコは依頼された打ち手を麻雀で殺…
天風の戦士,研ぎ澄まされた感性で「牌を刺す」！人呼んで「かげろう打ち」！超絶・裏プロ伝説！表の顔は普通のサラリーマン。しかし、裏の顔は歌舞伎町の代走屋。身を切るような真剣勝負に北澤を誘うのは、いつも腐臭を放つ使者だった。牌を打…
てっぺん,｢何を切るか｣ではない、｢何を引くか｣だ!! それが超一流の条件!! 悪鬼が巣食う卓上の獣道に、二人の若者が足を踏み入れた。一人はエリート代議士の次男坊。家に反発し、麻雀のために高校を中退した優等生。もう一人は不良…
白,マージャンに懸ける青春！「白（ハク）」こと水野義江は高校2年生。夢中になれるモノを見つけられず、ゲーセンの麻雀ゲームで燻っていた。そんな白の腕を見込み、一人のヤクザが白をイカサマ麻雀の場に連れ出す。しかし白は教えら…
ジャングル,昭和42年、函館。無二の親友・英二と駿は、雀荘荒らしをして日銭を稼いでいた。あるとき、冬村と言う男に出会い、英二の腕を見込んだ冬村に連れられ、ふたりは代打ちとして上京する。しかし冬村が見ていたのは、天性の豪運を持つ…
紅蓮,愚連隊の神様と呼ばれた伝説の男をモデルに描いた麻雀人情劇。愚連隊の首領でありながらヤクザを嫌って生涯カタギを貫き通し、昭和3、40年代の不良少年たちの憧れの存在として死ぬまで愚連隊のダンディズムを貫き通した男の物語…
逃亡者,麻雀でも喧嘩でも絶対に背中を見せねぇ…それが「向こう傷の健」の双つ名の由来！ヤッパを向けられてもチャカを突きつけられても「そんなもんに震えて麻雀が打（ぶ）てるか!!」、顔色一つ変えず大三元をツモ和了る！しかし健を1…
幻に賭けろ,麻雀のセオリーって何だ？日本プロ麻雀協会初代会長・土井泰昭氏原作による、麻雀愛溢れるストーリー漫画。闘牌シーンのクオリティが非常に高く、登場人物たちの一打一打を通して、ストーリーを楽しみつつ超実践的な麻雀の戦術書と…
あぶれもん,横浜の弘明寺と言う小さな街に、二人の天才雀士がいた。一人は新堂啓一。純粋な心で麻雀を愛する、街始まって以来の神童。もう一人は轟 健三。獲物と見たらゆっくりじっくりしゃぶり殺す、冷酷非情の最強の悪党。全く正反対の二人…
凌駕,職業：警官、副業：代打ち。警官の身でありながら高レートのご祝儀麻雀で守銭奴のように金を稼ぐ男、凌駕。かつては射撃のオリンピック強化選手で出世頭のエリート警官でもあったが、独断で銀行強盗を射殺し、人質女性・美魚子に深…
根こそぎフランケン,気は優しくて怪力麻雀（ちからもち）。カモを生かさず殺さずの小博打で糊口を凌ぐ雀ゴロの竹井の前にあらわれたのは、天真爛漫なバカヅキ麻雀の大男・フランケン。どこまでも純粋な麻雀バカで、世の理から外れた聖者の豪運を持つフ…
走れガバチョ！,三年前…北海道・浅井生産牧場――生産牧場とは繁殖牝馬に仔を産ませ明け1歳の秋頃までに馬主に売り、生計を立てる牧場である――その牧場にいた母馬・おちょうは最後の仔を産み生涯を終えた…産まれた仔は「ガバチョ」と名付けら…
