タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
ショッキングMOMOKO　小谷憲一短編集,https://cf.image-cdn.k-manga.jp/cover_200/0/3699/b3699_1_200.jpg,少年漫画,ギャグ・コメディ,小谷憲一,"巻完420ptコマ完40pt
              
              お気に入り：3人",UFOの墜落に巻き込まれて瀕死の重傷を負った3人の小学5年生の男女が、宇宙人の力で人並み外れた能力を手にいれ復活し、活躍する。ご多分にもれず、本作も小谷憲一お得意の美少女が活躍する健全系チョイH少年漫画で、今読んで…
麗の世界で有栖川,https://cf.image-cdn.k-manga.jp/cover_200/3/37016/b37016_1_200.jpg,少年漫画,ギャグ・コメディ,安西信行,"巻420pt
              
              お気に入り：40人",『烈火』『ＭAＲ』安西信行キレキレ新作！　手違いで身体の一部分がオトコ化してしまった有栖川（16）。気がつくと「麗」と呼ばれる昔話のような世界に漂着していた。そこにはクセの強い男しかいなく、有栖川は女であることを隠…
はじめてのあく,https://cf.image-cdn.k-manga.jp/cover_200/6/65856/b65856_1_200.jpg,少年漫画,ギャグ・コメディ,藤木俊,"巻完420pt
              
              お気に入り：11人","15歳の阿久野ジローは、元・悪の組織の科学者。でも組織を正義の人達に潰されて、親類の渡家のお世話になることに。そこには同い年の一人娘キョーコが居たりして、ひとつ屋根の下さあ大変な居候コメディー!!
        …"
姉ログ,https://cf.image-cdn.k-manga.jp/cover_200/7/72359/b72359_1_200.jpg,少年漫画,ギャグ・コメディ,田口ケンジ,"巻完420pt
              
              お気に入り：131人",「私の弟は、姉である私に求婚するヘンタイである」  弟に惚れられてると勘違いする女子高生・近衛靄子が、キケンすぎる妄想を爆発させる！　少年サンデーで絶好調連載中の妄想系ショートコメディー!!
でんぢゃらすじーさん邪,https://cf.image-cdn.k-manga.jp/cover_200/7/74664/b74664_1_200.jpg,少年漫画,ギャグ・コメディ,曽山一寿,"巻完420pt
              
                  
                
                4.0（1件）
              
              お気に入り：11人",タイトル変えたらますます人気アップ！　あのでんぢゃらすじーさんが新しくなった!　といっても変わったのはほぼタイトルだけ。でもおもしろいから読め！
がんばれ！ドンべ,https://cf.image-cdn.k-manga.jp/cover_200/7/78293/b78293_1_200.jpg,少年漫画,ギャグ・コメディ,はしもとみつお,"巻完420pt
              
              お気に入り：2人",興奮すると鼻血を出すが正義感は強いリーダー秀一。ちょっとスケベなラーメン屋の息子ヨシオ。泣き虫のお調子者ひろ志。いつも能天気なハナタレ小僧・春夫。おませでわがままだけどさみしがり屋のアケミ。小学校内の落ちこぼれ「ド…
ももいろ討鬼伝　モモタロウくん,https://cf.image-cdn.k-manga.jp/cover_200/8/85110/b85110_1_200.jpg,少年漫画,ギャグ・コメディ,鷹岬諒,"巻完420pt
              
              お気に入り：12人",モモタロウの子孫・第３４代モモタロウくん！現代の鬼を退治するのが、モモタロウくんの務め！ところが大事なきびだんごを鬼の娘に食べられてしまい！？しかも鬼の娘は、カワイイ女の子だらけで！？？まさかまさかのハーレム状態で…
じごくらく ～最強の抜け忍 がまんの画眉丸～,https://cf.image-cdn.k-manga.jp/cover_200/13/130394/b130394_1_200.jpg,少年漫画,ギャグ・コメディ,おおはし,"巻完418pt
              
              お気に入り：8人",あの大人気忍法浪漫活劇『地獄楽』がまさかのスピンオフ化! 主人公･画眉丸はドM体質で、その名も“がまんの画眉丸”…!! 相棒の佐切は超ドSで原作同様に息もピッタリ!? 他にも衝撃的なキャラ変のオンパレードで笑いが巻…
椿様は咲き誇れない,https://cf.image-cdn.k-manga.jp/cover_200/14/140397/b140397_1_200.jpg,少年漫画,ギャグ・コメディ,げしゅまろ,"巻完580pt
              
              お気に入り：5人",清く正しく美しくをモットーにする椿様はちょっと変わった女の子。典雅な淑女を目指して日々修行中…なんだけど、理想と現実は違うようで…？可愛くて一生懸命、だけど時々スキだらけ。そんな椿様の日常にドキッとさせられてみませ…
ひとりで飲めるもん！【単話版】,https://cf.image-cdn.k-manga.jp/cover_200/14/147454/b147454_1_200.jpg,,ギャグ・コメディ,コナリミサト,"巻完100pt
              
              お気に入り：1人",紅河メイはコスメ会社の広報部に勤務する28歳。仕事もできて、スタイル抜群。憧れる人も多いが、やっかみも多い。そんな彼女の密かな楽しみは、チェーン店、それも居酒屋ではなく、チェーンの丼店、ラーメン店、カフェで食事をと…
ハガネとわかば 分冊版,https://cf.image-cdn.k-manga.jp/cover_200/15/151234/b151234_1_200.jpg,,ギャグ・コメディ,キザキ,"巻100pt
              
              お気に入り：1人",伊吹若葉、20歳、結婚１年目。大好きな夫は、マッチョなサイボーグ。機械の夫×ちっちゃい妻の、しあわせ日常ラブコメ！
お前はまだグンマを知らない,https://cf.image-cdn.k-manga.jp/cover_200/11/115047/b115047_1_200.jpg,青年漫画,ギャグ・コメディ,井田ヒロト,"巻完400pt
              
                  
                
                3.2（75件）
              
              お気に入り：47人",チバ県からグンマ県に引っ越すこととなった神月。引越し先への移動中にネットでグンマを調べてみると、そこに現れたのは恐るべき内容ばかり！「地球上唯一残された秘境」「とりあえず一番いい装備で行け」等々。一体グンマとはどん…
ドージンワーク,https://cf.image-cdn.k-manga.jp/cover_200/2/23363/b23363_1_200.jpg,青年漫画,ギャグ・コメディ,ヒロユキ,"巻完400ptコマ完50pt
              
              お気に入り：31人",行ったれコミケ！待ってろ札束！同人活動はじめます！素人のなじみは当然絵も下手なら漫画もまるでダメ。クラスメイトの陵辱系作家・露理（つゆり）に誘われて、大手サークルのロリコン野郎・ジャスティスさんの売り上げ部数に感化…
ソープ水滸伝,https://cf.image-cdn.k-manga.jp/cover_200/3/37612/b37612_1_200.jpg,青年漫画,ギャグ・コメディ,出井州忍,"巻400pt
              
              お気に入り：51人",「ある女性」を探し求めさすらう子連れ聖門茎十郎(せいもんけいじゅうろう)。そのセックスは向かうところ敵なし!!日本一のソープランド街である東京・吉原……大見世小見世あわせて160軒の盛況を誇る花の吉原に、近頃妙な男…
くろねこアンジー,https://cf.image-cdn.k-manga.jp/cover_200/4/48639/b48639_1_200.jpg,青年漫画,ギャグ・コメディ,高港基資,"巻400pt
              
              お気に入り：3人","最恐Jホラーコミックス『恐之本』の高港基資が贈る癒しのねこちゃん漫画。読むものを恐怖のどん底に突き落とす物語は、どのようにして生まれるのか!?それを垣間見せる、ホラーの名手と愛猫アンジーとのゆるくてぬる～い毎日v
…"
ニューノーマル,https://cf.image-cdn.k-manga.jp/cover_200/6/62216/b62216_1_200.jpg,青年漫画,ギャグ・コメディ,相原瑛人,"巻100pt
              
              お気に入り：126人",「僕たちが生まれる少し前、ひとつの感染症が世界を変えた」――マスクで口元を隠すことが当たり前の日常となった近未来。世界流行<パンデミック>前の時代に密かに思いを馳せる少女・夏木とクラスメイトの秦は、ふとしたことから…
藤子不二雄Aのブラックユーモア,https://cf.image-cdn.k-manga.jp/cover_200/7/73763/b73763_1_200.jpg,青年漫画,ギャグ・コメディ,藤子不二雄Ａ,"巻完400pt
              
              お気に入り：23人",画業60周年を記念して刊行。単行本未収録「わが名はモグロ…喪黒福造」を含む傑作ブラックユーモア22作品がここに。「人間」のあらゆる欲と業が描かれたドラマの闇に、アナタは知らず知らず引き込まれてゆく。A先生の異才ぶり…
モンモンモン,https://cf.image-cdn.k-manga.jp/cover_200/10/100482/b100482_1_200.jpg,少年漫画,ギャグ・コメディ,つの丸,"巻完400pt
              
                  
                
                5.0（1件）
              
              お気に入り：16人",弟のモンチャックと盗みを働きながら旅を続けていた、あばれん坊のはぐれ猿・モンモン。あるとき、ハンターから弟をかばって倒れ、地獄のおさる刑務所へ送り込まれてしまう！　応援団猿のビッグ・ジョン、暴走族猿のウォッティなど…
やさしくシ・テ・ネ,https://cf.image-cdn.k-manga.jp/cover_200/11/112779/b112779_1_200.jpg,少年漫画,ギャグ・コメディ,山田こうすけ,"巻400pt
              
              お気に入り：7人",男ばかりのレスリング部に可愛い女の子が入部してきて大混乱。ちょっぴりHなドッキリコメディ。
焼肉店センゴク,https://cf.image-cdn.k-manga.jp/cover_200/15/151829/b151829_1_200.jpg,少年漫画,ギャグ・コメディ,覆面うさぎ,"巻400pt
              
              お気に入り：1人",心優しいが極度に気が小さい主人公のモップが、近所の焼肉店「センゴク」で人生初のバイトを始める。個性豊かな仲間と共に奮闘しながら成長する、焼肉系ハートフルギャグ4コママンガ。ついついホッコリ、クスッとしちゃう「焼肉店…
